satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,eval_number,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
2,3,2,4,1,1,E_1,3,Oui,11 %,1,41,F,5993,Célibataire,Commercial,Cadre Commercial,8,80,8,6,4,Oui,0,0,1,1,2,Infra & Cloud,Y,Occasionnel,0,5
3,2,2,2,4,3,E_2,4,Non,23 %,2,49,M,5130,Marié(e),Consulting,Assistant de Direction,1,80,10,10,7,Non,1,3,1,8,1,Infra & Cloud,Y,Frequent,1,7
4,2,1,3,2,3,E_4,3,Oui,15 %,4,37,M,2090,Célibataire,Consulting,Consultant,6,80,7,0,0,Oui,0,3,1,2,2,Autre,Y,Occasionnel,0,0
4,3,1,3,3,3,E_5,3,Oui,11 %,5,33,F,2909,Marié(e),Consulting,Assistant de Direction,1,80,8,8,7,Non,0,3,1,3,4,Infra & Cloud,Y,Frequent,3,0
1,3,1,2,4,3,E_7,3,Non,12 %,7,27,M,3468,Marié(e),Consulting,Consultant,9,80,6,2,2,Non,1,3,1,2,1,Transformation Digitale,Y,Occasionnel,2,2
4,3,1,4,3,2,E_8,3,Non,13 %,8,32,M,3068,Célibataire,Consulting,Consultant,0,80,8,7,7,Non,0,2,1,2,2,Infra & Cloud,Y,Frequent,3,6
3,4,1,1,1,2,E_10,4,Oui,20 %,10,59,F,2670,Marié(e),Consulting,Consultant,4,80,12,1,0,Non,3,3,1,3,3,Transformation Digitale,Y,Occasionnel,0,0
4,3,1,3,2,3,E_11,4,Non,22 %,11,30,M,2693,Divorcé(e),Consulting,Consultant,1,80,1,1,0,Non,1,2,1,24,1,Infra & Cloud,Y,Occasionnel,0,0
4,2,3,3,2,3,E_12,4,Non,21 %,12,38,M,9526,Célibataire,Consulting,Tech Lead,0,80,10,9,7,Non,0,2,1,23,3,Infra & Cloud,Y,Frequent,1,8
3,3,2,3,2,2,E_13,3,Non,13 %,13,36,M,5237,Marié(e),Consulting,Manager,6,80,17,7,7,Non,2,3,1,27,3,Transformation Digitale,Y,Occasionnel,7,7
